sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003832_A01,20,Basidiomycota,8,40,SLVAY657012,6,"Ascomycota(4),Ascomycota(3),Ascomycota(1),Streptophyta(2),Streptophyta(2)"
GC1003832_A02,727,Ascomycota,727,100,SLVU86583,347,
GC1003832_A03,824,Ascomycota,628,76.2,NA,371,"Basidiomycota(190),Basidiomycota(4),BasalFungi(2)"
GC1003832_A04,111,Ascomycota,110,99.1,NA,65,Basidiomycota(1)
GC1003832_A05,706,Basidiomycota,340,48.2,SLVDQ873626,251,"Ascomycota(180),Ascomycota(120),Ascomycota(45),Ascomycota(8),Ascomycota(4),Ascomycota(2),Ascomycota(2),Ascomycota(1),Ascomycota(1),Ascomycota(1),Ascomycota(1),Ascomycota(1)"
GC1003832_A06,18,Ascomycota,17,94.4,NA,11,Basidiomycota(1)
GC1003832_A07,856,Ascomycota,758,88.6,NA,610,"Basidiomycota(42),Basidiomycota(35),Basidiomycota(16),Basidiomycota(3),Basidiomycota(1),Basidiomycota(1)"
GC1003832_A08,21,Ascomycota,17,81,NA,15,"Basidiomycota(2),Metazoa(1),Choanoflagellata(1)"
GC1003832_A09,5,Basidiomycota,4,80,NA,4,Ciliophora(1)
GC1003832_A10,2,Ascomycota,1,50,NA,1,Basidiomycota(1)
GC1003832_A11,4,Basidiomycota,3,75,NA,1,MAST-11(1)
GC1003832_A12,4,Ascomycota,4,100,SLVJN546132,2,
GC1003832_B01,311,Basidiomycota,305,98.1,NA,202,"Ascomycota(4),Metazoa(2)"
GC1003832_B02,13,Basidiomycota,11,84.6,NA,8,"Ascomycota(1),Ascomycota(1)"
GC1003832_B03,2,Metazoa,2,100,NA,1,
GC1003832_B04,9,Ascomycota,8,88.9,SLVJN546132,6,Basidiomycota(1)
GC1003832_B05,587,Ascomycota,477,81.3,NA,213,"Basidiomycota(26),Basidiomycota(22),Basidiomycota(18),Basidiomycota(13),Basidiomycota(6),Basidiomycota(6),Basidiomycota(5),Basidiomycota(4),Basidiomycota(2),Basidiomycota(2),Basidiomycota(2),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1)"
